,cat_investment,cat_size,net_assets,portfolio_stocks,portfolio_bonds,price_earnings,price_book,price_sales,price_cashflow,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,label
1706,-1,0,55550000.0,99.15,0.0,12.4,1.27,2.72,7.85,13.25,1.29,51.17,10.29,0.0,1.46,4.35,5.61,1.4,10.37,0.82,0
1707,0,0,96350000.0,99.87,0.0,14.1,2.18,1.88,8.72,10.82,8.3,0.0,1.65,0.0,0.0,18.39,0.0,0.83,7.45,52.57,-1
1708,-1,1,368050000.0,98.7,0.0,15.04,2.74,1.4,8.17,0.57,12.29,12.65,5.95,10.22,11.21,6.51,3.07,8.2,8.31,21.02,0
1709,-1,1,1760000000.0,98.74,0.0,14.04,2.78,1.2,8.12,2.94,10.02,12.4,6.6,6.02,11.25,5.42,3.54,8.63,10.33,22.88,0
1710,-1,1,6300000.0,99.93,0.0,13.92,2.4,1.18,4.15,5.33,23.06,11.31,6.88,10.07,5.2,0.0,0.0,10.97,10.39,16.8,0
1711,-1,1,56610000.0,98.45,0.0,13.95,2.62,1.36,7.77,3.41,11.04,15.98,6.41,4.52,10.92,1.33,3.03,8.25,11.69,23.42,0
1712,0,-1,4190000.0,10.01,73.64,21.24,2.88,1.77,9.12,4.8,11.93,15.31,6.55,3.03,17.5,3.78,1.45,2.23,13.75,19.67,0
1713,1,1,266690000.0,99.56,0.0,14.53,1.67,1.26,7.98,5.21,12.89,17.04,4.25,14.8,14.0,4.57,6.16,2.4,12.97,5.73,0
1714,1,1,288080000.0,99.5,0.0,11.84,1.53,1.13,4.99,5.13,9.5,22.87,1.73,11.57,2.8,3.99,6.38,5.78,5.28,24.97,0
1715,1,1,43870000.0,36.96,22.59,14.17,1.73,1.28,6.6,4.69,14.94,20.68,2.49,7.47,8.01,8.09,2.11,7.79,12.0,11.72,0
1717,-1,1,80630000.0,98.58,0.0,13.44,2.33,1.2,7.44,2.85,12.55,13.44,3.15,6.6,12.85,3.89,2.71,6.8,10.07,25.11,0
1719,0,1,6320000.0,43.25,23.63,15.2,1.8,1.3,8.04,5.81,12.03,19.11,4.81,8.53,15.03,1.92,2.33,3.16,13.05,14.22,0
1721,0,1,15620000.0,16.6,42.54,15.47,1.8,1.24,7.91,6.21,14.55,14.45,6.71,6.88,9.54,2.01,2.38,3.0,14.57,19.68,0
1722,0,0,73720000.0,99.88,0.0,34.02,5.81,3.51,23.53,0.0,10.01,1.83,0.0,6.03,26.37,2.1,0.0,0.0,4.13,49.53,0
1723,0,1,736280000.0,99.86,0.0,16.97,3.92,2.43,11.43,0.0,19.23,2.03,0.0,7.09,14.87,0.99,3.85,0.0,11.01,40.94,0
1724,0,1,70300000000.0,100.0,0.0,20.08,5.17,3.25,12.42,0.0,18.9,1.82,0.0,6.34,8.12,0.36,4.21,0.0,4.09,56.17,1
